date,residual
2023-04-16,1000.8855104277609
2023-04-23,-3091.970893680962
2023-04-30,3472.5230043827614
2023-05-07,2659.755444888782
2023-05-14,-7226.168363396078
2023-05-21,352.8709777765034
2023-05-28,-10989.877995664574
2023-06-04,-3643.9371377710486
2023-06-11,6280.840678246197
2023-06-18,3171.457417264901
2023-06-25,-1068.868661783461
2023-07-02,8030.122788767971
2023-07-09,840.7845882789989
2023-07-16,7886.533277397102
2023-07-23,1681.9964604015986
2023-07-30,1357.315512511239
2023-08-06,163.77260742054204
2023-08-13,-3545.3693599455873
2023-08-20,-5796.309763395955
2023-08-27,-989.9582931633049
2023-09-03,3654.373398647469
2023-09-10,-742.9225736127119
2023-09-17,4057.5589677325333
2023-09-24,-2194.5755903986865
2023-10-01,-4854.756222605938
2023-10-08,-1446.3512257411203
2023-10-15,4476.7466887954215
2023-10-22,3173.41181478207
2023-10-29,2377.4017102508806
2023-11-05,-10450.670855057251
2023-11-12,4632.898579254921
2023-11-19,-5771.369385714264
2023-11-26,148.36496141916723
2023-12-03,2454.2078485293023
2023-12-10,2921.9123734098393
2023-12-17,7309.466494436638
2023-12-24,-4557.022985944175
